nome_municipio,sigla_uf,nome_regiao,taxa_prevista,meta,total_alunos,taxa_prevista_pct,gap_meta,em_risco
Alvorada,RS,Sul,0.48747796,52.0,221,48.747795,-3.2522048950195312,True
Santo Antônio do Monte,MG,Sudeste,0.7675396,80.0,32,76.75396,-3.2460403442382812,True
Santa Inês,PR,Sul,0.7675913,80.0,3,76.75913,-3.2408676147460938,True
Inhambupe,BA,Nordeste,0.33371538,36.61,19,33.371536,-3.238463745117187,True
Capela Nova,MG,Sudeste,0.76762426,80.0,5,76.76243,-3.2375717163085938,True
Sertãozinho,PB,Nordeste,0.533959,56.63,5,53.395897,-3.234103088378909,True
Mafra,SC,Sul,0.70836335,74.07,66,70.836334,-3.233665771484368,True
Morretes,PR,Sul,0.67052454,70.28,24,67.05245,-3.2275479125976574,True
São Francisco do Conde,BA,Nordeste,0.33884388,37.11,29,33.884388,-3.2256120300292963,True
Sabáudia,PR,Sul,0.7677561,80.0,14,76.77561,-3.2243881225585938,True
Taipu,RN,Nordeste,0.3995735,43.169999999999995,13,39.95735,-3.212648315429682,True
Olivedos,PB,Nordeste,0.5531789,58.529999999999994,9,55.31789,-3.212109832763666,True
Bom Lugar,MA,Nordeste,0.7679226,80.0,7,76.79226,-3.2077407836914062,True
Echaporã,SP,Sudeste,0.74974847,78.18,4,74.974846,-3.205154113769538,True
São José do Sabugi,PB,Nordeste,0.5300556,56.21,4,53.005558,-3.2044419860839852,True
Tijucas do Sul,PR,Sul,0.75744146,78.94,34,75.74415,-3.1958517456054665,True
Varjão,GO,Centro-Oeste,0.7680665,80.0,7,76.806656,-3.1933441162109375,True
Capanema,PR,Sul,0.75497156,78.69,27,75.497154,-3.192845764160154,True
Lagarto,SE,Nordeste,0.3911825,42.31000000000001,69,39.11825,-3.1917481994629,True
Central de Minas,MG,Sudeste,0.69461006,72.65,12,69.461006,-3.1889938354492244,True
Bananeiras,PB,Nordeste,0.5263762,55.82000000000001,12,52.63762,-3.18238098144532,True
Várzea da Roça,BA,Nordeste,0.36344606,39.52,9,36.344604,-3.175395507812503,True
Treviso,SC,Sul,0.67247653,70.42,4,67.24765,-3.1723498535156267,True
São Sebastião,AL,Nordeste,0.40104178,43.27,32,40.10418,-3.1658206176757844,True
